HOG,category,n_expressed_dups,hog_size_genome,hog_size_mapped,hog_size_expressed
N0.HOG0001091,Male + Unbiased,8,8,8,8
N0.HOG0001092,All unbiased,2,5,5,2
N0.HOG0001095,Male + Unbiased,2,2,2,2
N0.HOG0001096,All male-biased,2,2,2,2
N0.HOG0001097,All unbiased,3,4,4,3
N0.HOG0001098,Female + Unbiased,2,2,2,2
N0.HOG0001099,Male + Unbiased,3,4,4,3
N0.HOG0001101,All unbiased,3,3,3,3
N0.HOG0001102,All male-biased,3,3,3,3
N0.HOG0001110,Male + Unbiased,6,29,25,6
N0.HOG0001113,All unbiased,2,2,2,2
N0.HOG0001116,Male + Unbiased,2,2,2,2
N0.HOG0001117,All unbiased,3,3,3,3
N0.HOG0001118,All male-biased,2,2,2,2
N0.HOG0001119,All male-biased,3,3,3,3
N0.HOG0001125,Female + Unbiased,5,9,9,5
N0.HOG0001128,Male + Unbiased,2,2,2,2
N0.HOG0001129,Male + Unbiased,2,2,2,2
N0.HOG0001130,Male + Unbiased,4,4,4,4
N0.HOG0001131,Male + Unbiased,3,3,3,3
N0.HOG0001134,Male + Unbiased,2,2,2,2
N0.HOG0001137,All male-biased,2,2,2,2
N0.HOG0001138,Male + Unbiased,2,3,2,2
N0.HOG0001139,All male-biased,2,2,2,2
N0.HOG0001145,All male-biased,2,2,2,2
N0.HOG0001146,All unbiased,4,4,4,4
N0.HOG0001147,All unbiased,2,22,14,2
N0.HOG0001151,All unbiased,2,2,2,2
N0.HOG0001152,Male + Unbiased,4,4,4,4
N0.HOG0001158,Female + Unbiased,2,2,2,2
N0.HOG0001159,Male + Unbiased,2,2,2,2
N0.HOG0001160,All three,8,20,18,8
N0.HOG0001161,All male-biased,2,2,2,2
N0.HOG0001162,Male + Unbiased,2,2,2,2
N0.HOG0001165,All male-biased,2,2,2,2
N0.HOG0001166,All unbiased,2,2,2,2
N0.HOG0001167,Male + Unbiased,4,5,5,4
N0.HOG0001173,Male + Unbiased,2,2,2,2
N0.HOG0001174,All unbiased,2,2,2,2
N0.HOG0001177,Male + Unbiased,2,2,2,2
N0.HOG0001178,All unbiased,2,2,2,2
N0.HOG0001181,Male + Unbiased,3,3,3,3
N0.HOG0001185,Female + Unbiased,4,4,4,4
N0.HOG0001187,Male + Unbiased,2,2,2,2
N0.HOG0001201,All unbiased,4,5,5,4
N0.HOG0001202,All unbiased,2,2,2,2
N0.HOG0001206,All unbiased,2,3,2,2
N0.HOG0001208,Male + Unbiased,2,2,2,2
N0.HOG0001209,All male-biased,4,5,5,4
N0.HOG0001215,All male-biased,5,5,5,5
N0.HOG0001217,Male + Unbiased,2,3,3,2
N0.HOG0001219,All unbiased,2,2,2,2
N0.HOG0001220,Male + Unbiased,3,3,3,3
N0.HOG0001225,Male + Unbiased,2,2,2,2
N0.HOG0001226,All male-biased,2,5,5,2
N0.HOG0001227,Male + Unbiased,2,2,2,2
N0.HOG0001231,Male + Unbiased,3,3,3,3
N0.HOG0001232,All male-biased,3,3,3,3
N0.HOG0001233,Female + Unbiased,2,2,2,2
N0.HOG0001235,All unbiased,3,4,3,3
N0.HOG0001236,Male + Female,6,6,6,6
N0.HOG0001239,Female + Unbiased,2,2,2,2
N0.HOG0001240,All unbiased,5,5,5,5
N0.HOG0001243,All unbiased,2,2,2,2
N0.HOG0001246,Male + Female,2,2,2,2
N0.HOG0001248,Male + Unbiased,3,3,3,3
N0.HOG0001249,Male + Unbiased,2,2,2,2
N0.HOG0001250,All unbiased,3,3,3,3
N0.HOG0001251,Female + Unbiased,4,4,4,4
N0.HOG0001252,Female + Unbiased,5,5,5,5
N0.HOG0001254,Male + Unbiased,2,2,2,2
N0.HOG0001255,All unbiased,2,2,2,2
N0.HOG0001258,All female-biased,2,2,2,2
N0.HOG0001259,Male + Unbiased,2,2,2,2
N0.HOG0001260,All unbiased,5,7,5,5
N0.HOG0001264,Female + Unbiased,4,4,4,4
N0.HOG0001265,Male + Unbiased,7,15,14,7
N0.HOG0001275,All unbiased,2,5,5,2
N0.HOG0001277,Male + Unbiased,4,26,23,4
N0.HOG0001278,Male + Unbiased,3,25,18,3
N0.HOG0001285,Male + Unbiased,2,2,2,2
N0.HOG0001296,All unbiased,2,2,2,2
N0.HOG0001298,Male + Unbiased,2,2,2,2
N0.HOG0001299,All male-biased,2,2,2,2
N0.HOG0001300,Male + Unbiased,2,6,6,2
N0.HOG0001301,Male + Unbiased,3,3,3,3
N0.HOG0001302,All unbiased,2,2,2,2
N0.HOG0001305,Female + Unbiased,20,21,21,20
N0.HOG0001310,Male + Unbiased,6,6,6,6
N0.HOG0001311,All unbiased,3,3,3,3
N0.HOG0001313,Male + Unbiased,2,2,2,2
N0.HOG0001314,All male-biased,2,3,3,2
N0.HOG0001315,All unbiased,2,2,2,2
N0.HOG0001316,All unbiased,3,3,3,3
N0.HOG0001319,Male + Female,2,2,2,2
N0.HOG0001320,Male + Unbiased,5,14,13,5
N0.HOG0001323,Male + Unbiased,10,24,19,10
