HOG,category,n_expressed_dups,hog_size_genome,hog_size_mapped,hog_size_expressed
N0.HOG0011599,Male + Unbiased,2,2,2,2
N0.HOG0011609,All unbiased,2,2,2,2
N0.HOG0011619,All male-biased,2,8,7,2
N0.HOG0011629,All male-biased,2,2,2,2
N0.HOG0011633,All female-biased,2,2,2,2
N0.HOG0011652,All male-biased,2,2,2,2
N0.HOG0011655,Male + Unbiased,2,8,4,2
N0.HOG0011785,Male + Unbiased,3,3,3,3
N0.HOG0011808,Male + Unbiased,2,2,2,2
N0.HOG0011818,All male-biased,3,4,4,3
N0.HOG0011821,Male + Unbiased,4,8,8,4
N0.HOG0011824,Male + Unbiased,4,8,7,4
N0.HOG0011832,All unbiased,2,5,5,2
N0.HOG0011838,Male + Unbiased,3,4,4,3
N0.HOG0011852,All unbiased,3,10,9,3
N0.HOG0011855,All unbiased,2,10,6,2
N0.HOG0011859,All male-biased,2,7,6,2
N0.HOG0011861,All unbiased,2,4,4,2
N0.HOG0011862,Male + Unbiased,2,9,7,2
N0.HOG0011863,Male + Unbiased,2,10,7,2
N0.HOG0011864,All unbiased,2,10,8,2
N0.HOG0011865,All unbiased,2,9,4,2
N0.HOG0011867,Male + Unbiased,5,10,9,5
N0.HOG0011868,Male + Unbiased,5,9,8,5
N0.HOG0011869,All male-biased,2,3,3,2
N0.HOG0011870,All unbiased,2,10,7,2
N0.HOG0011872,Female + Unbiased,6,10,9,6
N0.HOG0011873,All unbiased,2,10,7,2
N0.HOG0011875,Male + Unbiased,3,9,6,3
N0.HOG0011876,All unbiased,2,10,7,2
N0.HOG0011882,Male + Unbiased,5,8,8,5
N0.HOG0011886,All male-biased,9,10,9,9
N0.HOG0012017,All male-biased,2,2,2,2
N0.HOG0012025,All unbiased,3,6,4,3
N0.HOG0012036,All male-biased,2,2,2,2
N0.HOG0012037,All unbiased,2,3,2,2
N0.HOG0012057,All unbiased,2,2,2,2
N0.HOG0012059,All unbiased,2,2,2,2
N0.HOG0012066,All unbiased,2,2,2,2
N0.HOG0012069,All unbiased,2,2,2,2
N0.HOG0012080,All unbiased,2,4,4,2
N0.HOG0012095,All male-biased,2,2,2,2
N0.HOG0012101,All three,3,7,7,3
N0.HOG0012103,Female + Unbiased,2,2,2,2
N0.HOG0012104,All male-biased,3,5,5,3
N0.HOG0012126,Male + Female,4,4,4,4
N0.HOG0012133,All three,3,3,3,3
N0.HOG0012137,All male-biased,2,2,2,2
N0.HOG0012149,Male + Unbiased,6,6,6,6
N0.HOG0012151,All male-biased,2,2,2,2
N0.HOG0012173,Female + Unbiased,2,2,2,2
N0.HOG0012178,All unbiased,2,8,7,2
N0.HOG0012182,All female-biased,2,2,2,2
N0.HOG0012188,Female + Unbiased,2,2,2,2
N0.HOG0012194,All male-biased,3,3,3,3
N0.HOG0012198,Male + Unbiased,2,5,5,2
N0.HOG0012301,All unbiased,2,2,2,2
N0.HOG0012360,All female-biased,2,2,2,2
N0.HOG0012376,All female-biased,2,2,2,2
N0.HOG0012395,All unbiased,3,3,3,3
N0.HOG0012431,Male + Unbiased,3,9,8,3
N0.HOG0012432,Male + Unbiased,3,8,7,3
N0.HOG0012435,Male + Unbiased,4,6,6,4
N0.HOG0012436,All unbiased,2,9,8,2
N0.HOG0012437,Male + Unbiased,4,6,4,4
N0.HOG0012438,Male + Unbiased,2,9,7,2
N0.HOG0012439,Male + Unbiased,2,9,8,2
N0.HOG0012444,All unbiased,2,8,6,2
N0.HOG0012595,All male-biased,2,2,2,2
N0.HOG0012640,All unbiased,2,2,2,2
N0.HOG0012653,All three,4,4,4,4
N0.HOG0012657,All unbiased,2,2,2,2
N0.HOG0012665,All male-biased,2,2,2,2
N0.HOG0012705,All male-biased,2,2,2,2
N0.HOG0012712,All unbiased,2,2,2,2
N0.HOG0012722,All male-biased,2,2,2,2
N0.HOG0012725,All male-biased,3,3,3,3
N0.HOG0012726,All male-biased,2,2,2,2
N0.HOG0012731,All unbiased,2,2,2,2
N0.HOG0012744,All male-biased,2,2,2,2
N0.HOG0012752,All male-biased,2,2,2,2
N0.HOG0012753,All unbiased,2,2,2,2
N0.HOG0012757,All male-biased,2,2,2,2
N0.HOG0012769,All male-biased,2,2,2,2
N0.HOG0012770,Male + Unbiased,3,3,3,3
N0.HOG0012774,All female-biased,3,3,3,3
N0.HOG0012786,All male-biased,2,2,2,2
N0.HOG0012871,Male + Female,4,4,4,4
N0.HOG0012875,All unbiased,2,2,2,2
N0.HOG0012943,Male + Unbiased,3,4,4,3
N0.HOG0012949,All female-biased,2,2,2,2
N0.HOG0012951,Female + Unbiased,2,2,2,2
N0.HOG0012955,All male-biased,5,6,5,5
N0.HOG0012957,Male + Unbiased,2,6,6,2
N0.HOG0012972,Male + Unbiased,2,7,7,2
N0.HOG0012979,Male + Unbiased,4,4,4,4
N0.HOG0012989,All male-biased,2,3,2,2
N0.HOG0013012,All unbiased,2,8,7,2
N0.HOG0013016,Male + Female,2,7,6,2
N0.HOG0013021,Female + Unbiased,7,8,8,7
N0.HOG0013022,Male + Unbiased,4,8,8,4
N0.HOG0013023,All unbiased,2,8,7,2
N0.HOG0013024,Male + Unbiased,2,2,2,2
N0.HOG0013028,Male + Unbiased,2,7,7,2
N0.HOG0013259,All male-biased,2,2,2,2
N0.HOG0013278,Female + Unbiased,3,4,4,3
N0.HOG0013281,All male-biased,2,2,2,2
N0.HOG0013283,Male + Unbiased,2,2,2,2
N0.HOG0013288,Male + Unbiased,3,6,6,3
N0.HOG0013294,Male + Unbiased,2,2,2,2
N0.HOG0013318,All male-biased,2,4,4,2
N0.HOG0013320,All unbiased,2,2,2,2
N0.HOG0013321,All unbiased,2,2,2,2
N0.HOG0013329,All female-biased,2,2,2,2
N0.HOG0013337,All male-biased,2,2,2,2
N0.HOG0013338,All male-biased,2,2,2,2
N0.HOG0013351,Male + Female,2,2,2,2
N0.HOG0013352,All male-biased,2,2,2,2
N0.HOG0013359,Male + Unbiased,3,3,3,3
N0.HOG0013365,All unbiased,2,2,2,2
N0.HOG0013370,All unbiased,4,4,4,4
N0.HOG0013380,All female-biased,2,2,2,2
N0.HOG0013394,All male-biased,2,2,2,2
N0.HOG0013404,All unbiased,2,2,2,2
N0.HOG0013405,All unbiased,2,2,2,2
N0.HOG0013407,All female-biased,2,2,2,2
N0.HOG0013414,All male-biased,2,2,2,2
N0.HOG0013422,All male-biased,2,3,3,2
N0.HOG0013423,All unbiased,2,2,2,2
N0.HOG0013431,All female-biased,3,3,3,3
N0.HOG0013621,All unbiased,2,2,2,2
N0.HOG0013622,All female-biased,2,2,2,2
N0.HOG0013633,Male + Unbiased,3,3,3,3
N0.HOG0013638,All male-biased,4,5,5,4
N0.HOG0013648,All male-biased,2,2,2,2
N0.HOG0013649,Male + Unbiased,2,6,6,2
N0.HOG0013663,All unbiased,2,2,2,2
N0.HOG0013665,All male-biased,4,6,6,4
N0.HOG0013668,Male + Unbiased,2,5,5,2
N0.HOG0013674,All unbiased,2,2,2,2
N0.HOG0013675,All male-biased,2,3,3,2
N0.HOG0013706,Male + Unbiased,2,6,6,2
N0.HOG0013708,Male + Unbiased,6,7,7,6
N0.HOG0013713,Male + Unbiased,2,7,5,2
N0.HOG0013716,All male-biased,6,7,6,6
N0.HOG0013717,All male-biased,2,6,5,2
N0.HOG0013718,Male + Unbiased,5,7,7,5
N0.HOG0013720,All unbiased,3,6,6,3
N0.HOG0013733,All male-biased,3,7,7,3
N0.HOG0013734,All male-biased,4,6,5,4
N0.HOG0013735,All male-biased,3,5,5,3
N0.HOG0014027,All male-biased,4,4,4,4
N0.HOG0014040,All male-biased,2,3,3,2
N0.HOG0014058,All male-biased,2,2,2,2
N0.HOG0014059,All unbiased,2,2,2,2
N0.HOG0014060,All female-biased,2,2,2,2
N0.HOG0014066,All male-biased,2,2,2,2
N0.HOG0014070,Female + Unbiased,2,2,2,2
N0.HOG0014071,All male-biased,2,3,2,2
N0.HOG0014132,All male-biased,2,2,2,2
N0.HOG0014157,All male-biased,2,2,2,2
N0.HOG0014175,All male-biased,2,2,2,2
N0.HOG0014177,Male + Unbiased,2,2,2,2
N0.HOG0014191,Male + Unbiased,2,2,2,2
N0.HOG0014192,All male-biased,2,2,2,2
N0.HOG0014202,All male-biased,2,3,2,2
N0.HOG0014203,All male-biased,2,2,2,2
N0.HOG0014212,All male-biased,2,2,2,2
N0.HOG0014217,All female-biased,2,2,2,2
N0.HOG0014227,All male-biased,2,2,2,2
N0.HOG0014240,Female + Unbiased,2,2,2,2
N0.HOG0014241,All female-biased,2,2,2,2
N0.HOG0014242,Female + Unbiased,2,2,2,2
N0.HOG0014243,All unbiased,2,2,2,2
N0.HOG0014249,All unbiased,2,2,2,2
N0.HOG0014254,Female + Unbiased,2,2,2,2
N0.HOG0014260,Male + Unbiased,2,2,2,2
N0.HOG0014266,Female + Unbiased,2,2,2,2
N0.HOG0014268,All male-biased,2,2,2,2
N0.HOG0014269,All male-biased,2,2,2,2
N0.HOG0014272,All unbiased,2,2,2,2
N0.HOG0014276,All male-biased,2,2,2,2
N0.HOG0014282,All unbiased,2,4,4,2
N0.HOG0014337,All male-biased,2,2,2,2
N0.HOG0014448,All male-biased,2,2,2,2
N0.HOG0014506,All unbiased,3,4,4,3
N0.HOG0014511,All male-biased,2,2,2,2
N0.HOG0014517,All male-biased,2,3,2,2
N0.HOG0014526,All unbiased,4,4,4,4
N0.HOG0014535,Female + Unbiased,5,5,5,5
N0.HOG0014536,All unbiased,3,3,3,3
N0.HOG0014543,Male + Unbiased,3,5,4,3
N0.HOG0014546,All unbiased,2,2,2,2
N0.HOG0014580,All male-biased,2,6,4,2
N0.HOG0014582,Male + Unbiased,4,5,5,4
N0.HOG0014586,All unbiased,2,5,4,2
N0.HOG0014589,Female + Unbiased,2,6,5,2
N0.HOG0014592,Male + Unbiased,2,6,6,2
N0.HOG0014594,Male + Unbiased,3,6,5,3
N0.HOG0014599,All unbiased,3,6,6,3
N0.HOG0014601,All unbiased,2,4,3,2
N0.HOG0014602,Male + Unbiased,4,6,6,4
N0.HOG0014604,Male + Unbiased,4,6,5,4
N0.HOG0014606,All unbiased,3,4,4,3
N0.HOG0014608,All unbiased,3,6,6,3
N0.HOG0014609,Male + Unbiased,3,6,6,3
N0.HOG0014616,Male + Unbiased,3,6,6,3
N0.HOG0014621,Male + Unbiased,4,5,5,4
N0.HOG0014625,All unbiased,2,5,5,2
N0.HOG0014640,All male-biased,4,6,5,4
N0.HOG0014641,All male-biased,3,6,4,3
N0.HOG0014646,Male + Unbiased,6,6,6,6
N0.HOG0015014,All female-biased,2,2,2,2
N0.HOG0015076,Female + Unbiased,3,3,3,3
N0.HOG0015079,Male + Female,2,2,2,2
N0.HOG0015087,All unbiased,2,2,2,2
N0.HOG0015092,All male-biased,2,2,2,2
N0.HOG0015096,All male-biased,2,2,2,2
N0.HOG0015097,Male + Unbiased,2,2,2,2
N0.HOG0015098,Female + Unbiased,2,2,2,2
N0.HOG0015100,All male-biased,2,2,2,2
N0.HOG0015101,Male + Unbiased,2,2,2,2
N0.HOG0015124,All male-biased,2,2,2,2
N0.HOG0015148,All male-biased,2,2,2,2
N0.HOG0015174,All male-biased,2,4,4,2
N0.HOG0015181,All unbiased,2,2,2,2
N0.HOG0015182,All male-biased,2,2,2,2
N0.HOG0015190,All male-biased,2,2,2,2
N0.HOG0015192,Female + Unbiased,2,2,2,2
N0.HOG0015193,All male-biased,2,2,2,2
N0.HOG0015197,All unbiased,2,2,2,2
N0.HOG0015208,All unbiased,2,2,2,2
N0.HOG0015214,All unbiased,2,2,2,2
N0.HOG0015223,All unbiased,2,2,2,2
N0.HOG0015242,All unbiased,2,2,2,2
N0.HOG0015261,All unbiased,2,2,2,2
N0.HOG0015264,All female-biased,2,3,3,2
N0.HOG0015273,All male-biased,2,2,2,2
N0.HOG0015274,All male-biased,2,2,2,2
N0.HOG0015275,All male-biased,2,2,2,2
N0.HOG0015277,All unbiased,2,2,2,2
N0.HOG0015278,All male-biased,2,2,2,2
N0.HOG0015279,All male-biased,2,2,2,2
N0.HOG0015280,All male-biased,2,2,2,2
N0.HOG0015281,Male + Unbiased,2,2,2,2
N0.HOG0015283,All male-biased,2,2,2,2
N0.HOG0015297,Female + Unbiased,2,2,2,2
N0.HOG0015300,Female + Unbiased,2,2,2,2
N0.HOG0015301,Male + Unbiased,2,2,2,2
N0.HOG0015303,All female-biased,2,2,2,2
N0.HOG0015315,All female-biased,2,2,2,2
N0.HOG0015330,All unbiased,2,2,2,2
N0.HOG0015331,All unbiased,2,2,2,2
N0.HOG0015332,All unbiased,2,2,2,2
N0.HOG0015333,All unbiased,2,2,2,2
N0.HOG0015334,All female-biased,2,2,2,2
N0.HOG0015339,All female-biased,2,2,2,2
N0.HOG0015345,All unbiased,2,2,2,2
N0.HOG0015354,All male-biased,2,2,2,2
N0.HOG0015364,All unbiased,2,2,2,2
N0.HOG0015365,All unbiased,3,3,3,3
N0.HOG0015366,All female-biased,2,2,2,2
N0.HOG0015367,All unbiased,2,2,2,2
N0.HOG0015369,All female-biased,2,2,2,2
N0.HOG0015374,All male-biased,2,2,2,2
N0.HOG0015375,All male-biased,2,2,2,2
N0.HOG0015382,All male-biased,2,2,2,2
N0.HOG0015383,Male + Unbiased,2,2,2,2
N0.HOG0015386,All unbiased,2,2,2,2
N0.HOG0015387,All male-biased,2,2,2,2
N0.HOG0015397,All male-biased,2,2,2,2
N0.HOG0015629,All male-biased,3,3,3,3
N0.HOG0015646,All male-biased,2,2,2,2
N0.HOG0015647,All male-biased,2,2,2,2
N0.HOG0015659,All unbiased,2,2,2,2
N0.HOG0015660,All female-biased,2,2,2,2
N0.HOG0015673,All male-biased,2,2,2,2
N0.HOG0015674,Male + Unbiased,3,3,3,3
N0.HOG0015677,Male + Unbiased,3,3,3,3
N0.HOG0015685,All female-biased,3,3,3,3
N0.HOG0015698,Female + Unbiased,2,2,2,2
N0.HOG0015760,Female + Unbiased,4,5,5,4
N0.HOG0015762,All unbiased,5,5,5,5
N0.HOG0015764,Female + Unbiased,2,5,4,2
N0.HOG0015766,All male-biased,3,5,3,3
N0.HOG0015767,All male-biased,3,5,5,3
N0.HOG0015769,Male + Unbiased,2,5,5,2
N0.HOG0015771,All unbiased,2,5,4,2
N0.HOG0015789,Male + Unbiased,3,4,4,3
N0.HOG0015793,Male + Unbiased,2,3,3,2
N0.HOG0015799,Male + Unbiased,3,4,4,3
N0.HOG0015813,Male + Unbiased,4,5,5,4
N0.HOG0015814,Male + Unbiased,2,5,3,2
N0.HOG0015816,All unbiased,3,5,3,3
N0.HOG0015817,All male-biased,2,5,5,2
N0.HOG0015821,Male + Unbiased,3,5,5,3
N0.HOG0015830,All unbiased,4,5,5,4
N0.HOG0015831,All unbiased,4,4,4,4
N0.HOG0015841,All unbiased,4,5,5,4
N0.HOG0016390,All male-biased,2,3,3,2
N0.HOG0016491,All unbiased,3,3,3,3
N0.HOG0016503,All male-biased,2,2,2,2
N0.HOG0016529,All male-biased,2,2,2,2
N0.HOG0016562,All male-biased,2,2,2,2
N0.HOG0016587,All male-biased,3,3,3,3
N0.HOG0016662,All male-biased,3,3,3,3
N0.HOG0016717,All male-biased,2,2,2,2
N0.HOG0016740,All female-biased,2,2,2,2
N0.HOG0016778,All unbiased,2,2,2,2
N0.HOG0016790,All female-biased,2,2,2,2
N0.HOG0016868,Male + Unbiased,3,3,3,3
N0.HOG0017183,Male + Unbiased,2,2,2,2
N0.HOG0017185,All male-biased,2,2,2,2
N0.HOG0017191,All male-biased,2,2,2,2
N0.HOG0017193,All male-biased,2,2,2,2
N0.HOG0017210,All male-biased,2,2,2,2
N0.HOG0017233,All male-biased,2,2,2,2
N0.HOG0017238,All male-biased,2,2,2,2
N0.HOG0017249,Male + Unbiased,2,2,2,2
N0.HOG0017281,Male + Unbiased,3,3,3,3
N0.HOG0017303,All male-biased,2,2,2,2
N0.HOG0017332,All female-biased,2,2,2,2
N0.HOG0017407,All male-biased,3,4,4,3
N0.HOG0017408,All unbiased,2,4,4,2
N0.HOG0017417,All male-biased,2,2,2,2
N0.HOG0017418,Male + Unbiased,2,4,3,2
N0.HOG0017423,All male-biased,2,4,4,2
N0.HOG0017424,Female + Unbiased,4,4,4,4
N0.HOG0017429,All male-biased,2,4,4,2
N0.HOG0017442,Male + Unbiased,2,4,4,2
N0.HOG0017445,All female-biased,3,4,4,3
N0.HOG0017451,All male-biased,2,4,4,2
N0.HOG0017457,Male + Unbiased,2,2,2,2
N0.HOG0017459,Male + Unbiased,3,4,4,3
N0.HOG0017460,All male-biased,2,4,4,2
N0.HOG0017467,Female + Unbiased,2,4,4,2
N0.HOG0017473,All unbiased,2,4,4,2
N0.HOG0017490,All unbiased,3,4,4,3
N0.HOG0017491,Female + Unbiased,4,4,4,4
N0.HOG0017498,All male-biased,4,4,4,4
